startstation,tripmonth,casuals,casual_ratio
15544,September,2263,0.81
13029,September,1206,0.81
13029,July,1205,0.8
15544,July,2863,0.79
15544,October,1705,0.79
13029,August,1036,0.78
13300,September,4064,0.77
15544,August,2707,0.77
13300,October,2383,0.77
13300,July,5522,0.76
TA1305000004,July,907,0.76
13022,September,6287,0.75
KA1503000064,September,2300,0.75
13300,August,4837,0.75
13022,July,8899,0.74
13431,July,2171,0.74
13022,October,3073,0.74
13431,September,1739,0.73
13022,August,7858,0.73
13431,October,1076,0.73
13431,August,1983,0.72
13008,July,3665,0.72
KA1503000064,October,1397,0.72
KA1503000064,August,2305,0.71
KA1503000064,July,2752,0.71
13008,September,2650,0.7
623,September,1785,0.68
13008,August,3048,0.68
623,July,1508,0.68
TA1309000002,July,1204,0.68
623,August,1840,0.66
13042,September,3189,0.65
13042,July,4649,0.65
13042,August,3906,0.63
15541,August,939,0.63
TA1308000012,July,2748,0.63
LP-,July,1387,0.63
13124,July,786,0.63
TA1305000010,July,776,0.63
TA1305000010,August,796,0.62
15541,July,889,0.62
13008,October,1492,0.62
TA1308000012,September,1508,0.61
TA1308000012,August,2382,0.61
TA1309000002,August,882,0.61
LF-005,July,4622,0.61
TA1309000002,September,988,0.6
LP-,September,976,0.6
LP-,August,1247,0.6
623,October,1277,0.6
TA1308000001,September,2202,0.58
LF-005,August,3874,0.58
TA1308000001,July,3620,0.58
639,July,963,0.58
LF-005,September,2513,0.57
KA1503000014,July,960,0.57
TA1308000009,July,886,0.56
13034,July,825,0.56
13042,October,1401,0.56
TA1307000131,September,856,0.55
TA1308000001,August,2817,0.55
TA1306000013,July,1745,0.55
13427,July,994,0.55
TA1307000131,July,1022,0.54
SL-005,August,1914,0.53
TA1307000127,August,1053,0.53
SL-005,July,2048,0.53
13034,August,820,0.52
13001,July,1473,0.52
13036,July,782,0.52
TA1306000013,August,1579,0.51
13427,August,958,0.51
TA1307000131,August,897,0.51
TA1306000029,July,1785,0.51
TA1307000041,July,1747,0.51
TA1305000011,July,1397,0.51
LF-005,October,1031,0.51
15576,August,1091,0.5
15576,July,1225,0.5
15529,July,967,0.5
TA1307000127,July,904,0.5
15534,July,891,0.5
TA1306000013,September,1165,0.49
13427,September,809,0.49
TA1309000049,August,1660,0.49
15529,August,1021,0.49
TA1309000039,July,2024,0.49
TA1309000049,July,1820,0.49
13430,July,1469,0.49
TA1306000029,August,1477,0.48
TA1308000019,August,927,0.48
13128,August,864,0.48
13179,July,2020,0.48
TA1307000117,July,1657,0.48
TA1309000019,July,1625,0.48
13193,July,1474,0.48
13128,July,899,0.48
SL-005,September,1404,0.47
632,September,1309,0.47
TA1306000029,September,1184,0.47
TA1307000127,September,830,0.47
13146,August,1649,0.47
13001,August,1466,0.47
632,August,1462,0.47
TA1308000049,August,1323,0.47
15534,August,793,0.47
13146,July,1952,0.47
632,July,1466,0.47
TA1307000126,July,1274,0.47
13001,September,1190,0.46
TA1305000011,September,965,0.46
13179,August,1782,0.46
TA1307000117,August,1561,0.46
TA1309000019,August,1479,0.46
13193,August,1394,0.46
TA1307000126,August,1362,0.46
TA1308000049,July,1273,0.46
TA1305000003,July,1203,0.46
TA1309000023,July,1177,0.46
13263,July,1161,0.46
TA1305000029,July,983,0.46
13179,September,1434,0.45
13146,September,1325,0.45
TA1307000126,September,1207,0.45
TA1305000029,September,873,0.45
TA1309000039,August,1692,0.45
TA1307000041,August,1349,0.45
TA1308000050,July,2084,0.45
TA1308000019,July,868,0.45
13085,July,811,0.45
TA1307000117,September,1306,0.44
13430,September,1136,0.44
TA1308000049,September,1007,0.44
TA1307000041,September,988,0.44
TA1307000134,August,1782,0.44
TA1309000025,August,1253,0.44
TA1305000011,August,1155,0.44
TA1307000136,August,1055,0.44
TA1305000003,August,1048,0.44
13085,August,803,0.44
TA1307000134,July,1609,0.44
TA1309000025,July,1302,0.44
TA1309000061,July,1229,0.44
